PERMNO,SYMBOL,GVKEY,TimeOfFirstTrade
10145,HON,1300,2012-01-26 15:53:00
10606,WTS,12445,2015-02-17 14:19:00
11547,CNMD,13623,2011-04-27 15:22:00
11599,ACO,14182,2013-04-25 14:40:00
11896,MXIM,14256,2012-01-26 11:44:00
12026,QLIK,184603,2015-02-12 15:39:00
12049,GORO,175503,2013-05-08 15:58:00
12449,FLT,184700,2015-04-30 15:28:00
12639,CSOD,185646,2015-05-06 15:29:00
12758,ECOL,1439,2013-04-24 15:07:00
12873,P,186520,2015-02-05 15:59:00
12924,TNGO,184715,2015-02-12 15:10:00
13105,ACHC,192255,2015-04-28 14:35:00
13110,MFRM,161036,2015-03-19 15:55:00
13284,ALSN,177966,2015-04-27 15:17:00
13377,PFPT,170335,2013-04-25 15:00:00
13447,NOW,171007,2015-01-28 13:31:00
13447,NOW,171007,2015-04-16 14:33:00
13687,RH,111873,2015-03-26 15:41:00
13936,PVH,8551,2015-03-25 15:18:00
14231,VEEV,18689,2015-03-03 13:31:00
15456,FL,11584,2011-08-18 15:43:00
16432,GT,5234,2011-07-27 15:59:00
18542,CAT,2817,2012-01-25 14:35:00
19350,DE,3835,2015-02-19 15:40:00
19561,BA,2285,2012-01-24 15:19:00
20204,CR,3580,2015-04-27 15:39:00
20512,CACI,2596,2015-04-29 14:54:00
20670,CAMP,2615,2013-04-25 15:48:00
23579,TXT,10519,2015-04-27 15:34:00
23835,MDU,6867,2015-02-02 14:47:00
23835,MDU,6867,2015-05-04 15:57:00
24459,PBI,8606,2015-04-29 14:47:00
24969,AVA,11304,2013-02-19 15:46:00
25778,CA,3310,2011-07-20 15:46:00
25778,CA,3310,2012-01-24 13:32:00
25785,F,4839,2015-01-28 15:59:00
26201,CMTL,3358,2014-12-10 15:41:00
27043,VAR,11115,2012-01-25 12:46:00
27633,R,9299,2015-02-02 15:43:00
35051,PLL,8304,2015-02-23 15:03:00
35991,ROG,9216,2015-02-17 15:44:00
35991,ROG,9216,2015-04-29 15:29:00
36003,ROL,9225,2012-01-24 10:14:00
38156,WMB,11506,2015-02-18 14:54:00
38659,GNTX,5116,2013-10-21 15:21:00
39538,MAT,7116,2015-04-16 14:39:00
42796,MDP,7260,2012-01-23 14:39:00
44506,IDTI,6003,2015-02-02 14:24:00
44506,IDTI,6003,2015-05-04 15:40:00
45277,IGT,6097,2012-01-23 15:31:00
45911,SWKS,1327,2015-01-22 15:41:00
46690,CBT,2593,2015-04-29 13:33:00
46877,BCR,2044,2015-01-29 15:27:00
47379,KELYA,6379,2013-05-07 15:49:00
48486,LRCX,6565,2013-04-24 13:43:00
51369,TER,10453,2015-01-28 15:49:00
52090,MKC,7146,2013-04-01 15:38:00
52337,THC,7750,2015-02-23 15:57:00
52337,THC,7750,2015-05-04 15:48:00
53640,MSCC,7346,2012-01-26 14:51:00
